1870
140  BRA  1
200  UKG  2
210  NTH  2
220  FRN  3
255  GMY  2
325  ITA  4
740  JPN  1
100  COL  2
130  ECU  3
135  PER  2
155  CHL  2
160  ARG  3
165  URU  3
211  BEL  2
230  SPN  3
235  POR  2
350  GRC  4
360  ROM  2
365  RUS  4
380  SWD  2
390  DEN  2
640  TUR  4
710  CHN  1
225  SWZ  4
300  AUH  4
345  YUG  4
630  IRN  4
730  KOR  1

1894
2  USA  1
140  BRA  1
200  UKG  2
220  FRN  1
255  GMY  2
740  JPN  1
155  CHL  2
160  ARG  2
211  BEL  2
210  NTH  2
230  SPN  1
325  ITA  1
350  GRC  3
365  RUS  3
380  SWD  2
390  DEN  2
640  TUR  3
135  PER  2
225  SWZ  1
235  POR  2
360  ROM  2
300  AUH  3
710  CHN  3
630  IRN  3
345  YUG  3

1895
2  USA  1
70  MEX  1
100  COL  1
101  VEN  1
140  BRA  2
155  CHL  3
165  URU  2
200  UKG  3
210  NTH  3
211  BEL  3
220  FRN  3
230  SPN  4
255  GMY  3
325  ITA  3
640  TUR  3
710  CHN  1
740  JPN  1
160  ARG  2
225  SWZ  3
235  POR  4
350  GRC  3
365  RUS  3
380  SWD  5
390  DEN  5
135  PER  3
360  ROM  3
600  MOR  3
300  AUH  3

1896
2  USA  1
41  HAI  1
70  MEX  1
101  VEN  1
140  BRA  2
155  CHL  3
200  UKG  2
210  NTH  3
211  BEL  3
220  FRN  2
255  GMY  3
325  ITA  3
740  JPN  4
130  ECU  5
135  PER  5
165  URU  2
160  ARG  2
225  SWZ  3
230  SPN  2
235  POR  2
350  GRC  3
360  ROM  3
365  RUS  3
380  SWD  6
390  DEN  6
640  TUR  3
710  CHN  4
600  MOR  2
300  AUH  3
345  YUG  3
730  KOR  4

1897
2  USA  1
41  HAI  1
70  MEX  1
101  VEN  1
140  BRA  2
200  UKG  3
210  NTH  4
211  BEL  4
220  FRN  5
255  GMY  4
325  ITA  6
740  JPN  7
130  ECU  3
135  PER  8
145  BOL  8
165  URU  2
155  CHL  4
160  ARG  5
225  SWZ  6
230  SPN  5
235  POR  3
350  GRC  4
360  ROM  4
365  RUS  4
380  SWD  4
390  DEN  4
640  TUR  5
710  CHN  7
630  IRN  3
600  MOR  5
300  AUH  4
345  YUG  4

1898
2  USA  1
41  HAI  1
70  MEX  1
101  VEN  1
140  BRA  2
200  UKG  2
210  NTH  3
211  BEL  3
220  FRN  2
255  GMY  3
325  ITA  2
740  JPN  4
130  ECU  2
135  PER  2
145  BOL  2
165  URU  2
155  CHL  3
160  ARG  2
225  SWZ  2
230  SPN  2
235  POR  2
350  GRC  2
360  ROM  3
365  RUS  2
380  SWD  3
390  DEN  3
640  TUR  2
710  CHN  4
600  MOR  2
630  IRN  2
300  AUH  3
345  YUG  3
730  KOR  4
800  THI  4

1899
2  USA  1
41  HAI  1
70  MEX  1
100  COL  1
101  VEN  1
130  ECU  1
135  PER  2
140  BRA  1
200  UKG  3
211  BEL  4
220  FRN  4
230  SPN  4
255  GMY  4
325  ITA  4
390  DEN  5
710  CHN  1
740  JPN  1
145  BOL  2
155  CHL  2
160  ARG  4
165  URU  3
210  NTH  4
225  SWZ  4
235  POR  3
345  YUG  4
350  GRC  3
360  ROM  4
365  RUS  4
380  SWD  5
640  TUR  4
800  THI  3
300  AUH  4
630  IRN  4
730  KOR  1

1900
2  USA  1
70  MEX  1
135  PER  1
140  BRA  1
200  UKG  1
210  NTH  2
211  BEL  2
220  FRN  2
255  GMY  2
325  ITA  2
740  JPN  1
130  ECU  1
165  URU  1
145  BOL  2
155  CHL  2
160  ARG  1
225  SWZ  2
230  SPN  2
235  POR  1
350  GRC  1
365  RUS  3
380  SWD  4
390  DEN  2
640  TUR  2
710  CHN  1
800  THI  1
360  ROM  2
300  AUH  2
630  IRN  3

1901
2  USA  1
70  MEX  1
101  VEN  1
135  PER  1
140  BRA  2
155  CHL  1
200  UKG  2
210  NTH  3
211  BEL  3
220  FRN  2
230  SPN  1
255  GMY  3
325  ITA  2
710  CHN  1
740  JPN  1
165  URU  2
160  ARG  3
225  SWZ  2
350  GRC  3
365  RUS  3
380  SWD  2
390  DEN  3
640  TUR  2
235  POR  2
360  ROM  3
300  AUH  3
345  YUG  3
630  IRN  3

1902
2  USA  1
40  CUB  1
70  MEX  1
101  VEN  1
135  PER  1
140  BRA  1
200  UKG  2
210  NTH  3
211  BEL  3
220  FRN  3
230  SPN  3
255  GMY  3
325  ITA  3
710  CHN  1
740  JPN  1
155  CHL  3
160  ARG  2
225  SWZ  3
350  GRC  3
365  RUS  3
380  SWD  3
390  DEN  2
640  TUR  2
165  URU  2
235  POR  2
360  ROM  3
300  AUH  3
345  YUG  3

1903
2  USA  1
40  CUB  1
70  MEX  1
101  VEN  1
135  PER  1
140  BRA  1
200  UKG  2
210  NTH  3
211  BEL  3
220  FRN  4
